Primary Key,English,Korean,Japanese,Chinese
PAV-00835,joint spacing,조인트 간격,ジョイント間隔,接缝间距
PAV-00838,jointed plain concrete pavement,조인트콘크리트포장,ジョイント平面コンクリート舗装,接缝混凝土路面
PAV-00841,Jointed Plain Concrete Pavement (JPCP),줄눈 무근 콘크리트 포장(JPCP),目地付き無筋コンクリート舗装（JPCP）,接缝式普通混凝土路面（JPCP）
PAV-00844,Jointed Reinforced Concrete Pavement (JRCP),줄눈 철근 콘크리트 포장(JRCP),目地付き鉄筋コンクリート舗装（JRCP）,接缝式钢筋混凝土路面（JRCP）
PAV-00847,Judgment Sampling,판단표본추출,有意抽出,判断抽样
PAV-00850,kinematic viscosity,동점도,動粘度,运动粘度
PAV-00853,LA abrasion test,LA 마모 시험,LA摩耗試験,LA磨耗试验
PAV-00856,laboratory mix design,실내 혼합설계,室内混合設計,室内混合设计
PAV-00859,laitance,라이턴스,レイタンス,乳化层
PAV-00862,land settlement,지반 침하,地盤沈下,地基沉降
PAV-00865,lap joint,겹침 이음,重ね目地,搭接接缝
PAV-00868,lean concrete,저강도콘크리트,貧配合コンクリート,贫混凝土
PAV-00871,leveling course,평탄층,レベリング層,找平层
PAV-00874,life cycle cost,생애주기비용,ライフサイクルコスト,生命周期成本
PAV-00877,life cycle cost analysis,생애주기비용분석,ライフサイクルコスト分析,生命周期成本分析
PAV-00880,lightweight aggregate concrete,경량 골재 콘크리트,軽量骨材コンクリート,轻骨料混凝土
PAV-00883,limited subgrade frost penetration method,제한된 노상 동결침투 방법,制限された路床凍結貫入法,限制路床冻融贯入法
PAV-00886,Liquefaction,액상화,液状化,液化
PAV-00889,Load Equivalency Factors (LEFs),하중환산계수(LEF),荷重換算係数（LEF）,轴载换算系数（LEF）
PAV-00892,load strength,하중 강도,荷重強度,荷载强度
PAV-00895,Load Transfer Efficiency (LTE),하중전달효율(LTE),荷重伝達効率（LTE）,荷载传递效率（LTE）
PAV-00898,localized roughness,국소 평탄성,局所平坦性,局部平整度
PAV-00901,Longitudinal Cracking,종방향 균열,縦ひび割れ,纵向裂缝
PAV-00904,longitudinal joint,종방향 조인트,縦方向ジョイント,纵向接缝
PAV-00907,loss on heating,가열 감량,加熱減量,加热损失
PAV-00910,Lot,로트,ロット,批
PAV-00913,low heat portland cement,저열 포틀랜드 시멘트,低熱ポルトランドセメント,低热硅酸盐水泥
PAV-00916,low temperature cracking,저온 균열,低温ひび割れ,低温裂缝
PAV-00919,Lower Specification Limit (LSL),하한 규격한계(LSL),下側規格限界（LSL）,规范下限（LSL）
PAV-00922,macadam base course,매카담기층,マカダム基層,碎石基层
PAV-00925,macadam roller,매카담롤러,マカダムローラー,碎石压路机
PAV-00928,macro texture,거시텍스처,マクロテクスチャ,宏观纹理
PAV-00931,marshall stability test,마샬안정도시험,マーシャル安定度試験,马歇尔稳定度试验
PAV-00934,mass concrete,매스콘크리트,マスコンクリート,大体积混凝土
PAV-00937,mastic asphalt mixture,매스틱아스팔트혼합물,マスティックアスファルト混合物,沥青胶浆混合料
PAV-00940,material property,재료특성,材料特性,材料特性
PAV-00943,maximum dry density,최대건조밀도,最大乾燥密度,最大干密度
PAV-00946,maximum size of aggregate,최대 골재 크기,最大骨材寸法,最大骨料粒径
PAV-00949,mean profile depth,평균 프로파일 깊이,平均プロファイル深さ,平均轮廓深度
PAV-00952,mean roughness index,평균 거칠기 지수,平均粗さ指数,平均粗糙度指数
PAV-00955,mean segment depth,평균 구간 깊이,平均区間深さ,平均路段深度
PAV-00958,mean texture depth,평균 텍스처 깊이,平均テクスチャ深さ,平均纹理深度
PAV-00961,mechanical analysis test,기계적 분석 시험,機械的分析試験,机械分析试验
PAV-00964,Mechanistic-Empirical,역학-경험적,力学経験的,力学-经验法
PAV-00967,Mechanistic-Empirical Pavement Design Guide (MEPDG),역학-경험적 포장설계 지침(MEPDG),力学経験的舗装設計ガイド（MEPDG）,力学-经验法路面设计指南（MEPDG）
PAV-00970,membrane curing,막 양생,膜養生,膜养护
PAV-00973,micro texture,미시텍스처,ミクロテクスチャ,微观纹理
PAV-00976,mixing,혼합,混合,混合
PAV-00979,mixing ratio,혼합비,混合比,混合比
PAV-00982,mixing temperature,혼합 온도,混合温度,混合温度
PAV-00985,moderate-heat portland cement,중열 포틀랜드 시멘트,中熱ポルトランドセメント,中热硅酸盐水泥
PAV-00988,modification function,수정 함수,修正関数,修正函数
PAV-00991,modified asphalt,개질 아스팔트,改質アスファルト,改性沥青
PAV-00994,Modulus of Elasticity,탄성계수,弾性係数,弹性模量
PAV-00997,modulus of subgrade reaction,노상 반력 계수,路床反力係数,路床反力系数
PAV-01000,moisture curing,습윤양생,湿潤養生,湿润养护
PAV-01003,mortar,모르타르,モルタル,砂浆
PAV-01006,"MR, resilient modulus, modulus of rupture",탄성 계수,弾性係数,弹性模量
PAV-01009,multi layer elastic theory,다층 탄성 이론,多層弾性理論,多层弹性理论
PAV-01012,multi layer system,다층 시스템,多層システム,多层体系
PAV-01015,Natural Aggregate,천연골재,天然骨材,天然集料
PAV-01018,Natural Pozzolans,천연 포졸란,天然ポゾラン,天然火山灰质材料
PAV-01021,new aggregate,신규 골재,新規骨材,新骨料
PAV-01024,next generation concrete surface,차세대 콘크리트 포장,次世代コンクリート舗装,下一代混凝土路面
PAV-01027,non destructive density gauge,비파괴 밀도계,非破壊密度計,非破坏密度仪
PAV-01030,normal portland cement,보통 포틀랜드 시멘트,普通ポルトランドセメント,普通硅酸盐水泥
PAV-01033,"OAC, optimum asphalt content",최적아스팔트함량,最適アスファルト含有量,最优沥青含量
PAV-01036,on-site modulus of elasticity,현장 탄성 계수,現場弾性係数,现场弹性模量
PAV-01039,open graded,개입 입도,開粒度,开级配
PAV-01042,open graded asphalt concrete,개입 입도 아스팔트 콘크리트,開粒度アスファルトコンクリート,开级配沥青混凝土
PAV-01045,Open-Graded Aggregate Base (OGAB),개립도 골재 기층(OGAB),開粒度骨材路盤（OGAB）,开级配集料基层（OGAB）
PAV-01048,optimum moisture content,최적함수비,最適含水比,最优含水量
PAV-01051,Outlier,이상치,外れ値,离群值
PAV-01054,overlay,덧씌우기,オーバーレイ,加铺层
PAV-01057,pavement,포장,舗装,路面
PAV-01060,pavement classification number,포장 분류 번호,舗装分類番号,路面分类号
PAV-01063,pavement condition number,포장 상태 지수,舗装状態指数,路面状况指数
PAV-01066,pavement expansion,포장 팽창,舗装膨張,路面膨胀
PAV-01069,penetration,침입도,貫入度,针入度
PAV-01072,penetration amount,침입량,貫入量,贯入量
PAV-01075,percent of rigden voids,리그덴 공극률,リグデン空隙率,理论最大密度空隙率
PAV-01078,Percent Within Limits (PWL),규격 내 백분율(PWL),規格内百分率（PWL）,规范限值内百分率（PWL）
PAV-01081,permanent deformation,영구 변형,永久変形,永久变形
PAV-01084,Permeability,투수성,透水性,渗透性
PAV-01087,Permeable Bases,투수성 기층,透水性路盤,透水基层
PAV-01090,permeable layer,투수층,透水層,透水层
PAV-01093,permeable pavement,투수포장,透水舗装,透水路面
PAV-01096,Pervious Concrete,투수 콘크리트,ポーラスコンクリート,透水混凝土
PAV-01099,"PG, performance grade",성능등급,性能グレード,性能等级
PAV-01102,Pitch,피치,ピッチ,煤焦油沥青
PAV-01105,plain concrete,무근콘크리트,無筋コンクリート,素混凝土
PAV-01108,plant mix reclaimed asphalt mixture,플랜트 혼합 재생 아스팔트 혼합물,プラント混合再生アスファルト混合物,厂拌再生沥青混合料
PAV-01111,plastic index,소성지수,塑性指数,塑性指数
PAV-01114,plastic materials,소성재료,塑性材料,塑性材料
PAV-01117,plasticity,소성,塑性,塑性
PAV-01120,plasticizer,가소제,可塑剤,增塑剂
PAV-01123,"PMS, pavement management system",포장관리시스템,舗装管理システム,路面管理系统
PAV-01126,polymer concrete,폴리머 콘크리트,ポリマーコンクリート,聚合物混凝土
PAV-01129,Pooled Variance,합동분산,プール分散,合并方差
PAV-01132,popouts,팝아웃,ポップアウト,剥落
PAV-01135,porous asphalt pavement,다공질 아스팔트 포장,多孔質アスファルト舗装,多孔沥青路面
PAV-01138,portland cement,포틀랜드 시멘트,ポルトランドセメント,硅酸盐水泥
PAV-01141,Portland Cement Concrete (PCC),포틀랜드 시멘트 콘크리트(PCC),ポルトランドセメントコンクリート（PCC）,硅酸盐水泥混凝土（PCC）
PAV-01144,pot hole,포트홀,ポットホール,坑槽
PAV-01147,Pozzolans,포졸란,ポゾラン,火山灰质材料
PAV-01150,Precision,정밀도,精密さ,精密度
PAV-01153,precooling,사전냉각,予冷却,预冷却
PAV-01156,preformed joint sealant,기성접합부실란트,プレフォームドジョイントシーラント,预成型接缝密封胶
PAV-01159,pressure relief joint,압력 해제 조인트,圧力解放ジョイント,压力释放接缝
PAV-01162,prestressed concrete,프리스트레스 콘크리트,プレストレストコンクリート,预应力混凝土
PAV-01165,primary dust collector,1차 집진기,一次集塵機,一次集尘器
PAV-01168,prime coat,프라임 코트,プライムコート,透层
PAV-01171,profile,종단면,縦断面,纵断面
PAV-01174,"profiler, profilemeter",프로파일러,プロファイラー,路面仪
PAV-01177,Pugmill,퍼그밀,パグミル,搅拌缸
PAV-01180,pumping,펌핑,ポンピング,泵吸
PAV-01183,Punchouts,펀치아웃,パンチアウト,冲断
PAV-01186,Quality Assurance (QA),품질보증(QA),品質保証（QA）,质量保证（QA）
PAV-01189,Quality Control (QC),품질관리(QC),品質管理（QC）,质量控制（QC）
PAV-01192,Quality Control Plan,품질관리계획,品質管理計画,质量控制计划
PAV-01195,Quality Management,품질경영,品質マネジメント,质量管理
PAV-01198,Random Sampling,무작위 표본추출,無作為抽出,随机抽样
PAV-01201,RAP asphalt,재생 아스팔트,再生アスファルト,再生沥青
PAV-01204,Raveling,골재탈리,ラベリング（骨材飛散）,松散
PAV-01207,"RCCP, roller compacted concrete pavement",롤러다짐콘크리트포장,ローラー転圧コンクリート舗装,碾压混凝土路面
PAV-01210,reactive aggregate distress,반응성 골재 열화,反応性骨材劣化,反应性骨料病害
PAV-01213,ready mixed concrete,레디믹스트콘크리트,レディーミクストコンクリート,预拌混凝土
PAV-01216,Reclaimed Asphalt Pavement (RAP),재생 아스팔트 포장재(RAP),アスファルトコンクリート再生骨材（RAP）,回收沥青路面材料（RAP）
PAV-01219,Recycled Aggregate,순환골재,再生骨材,再生集料
PAV-01222,recycled asphalt mixture,재생 아스팔트 혼합물,再生アスファルト混合物,再生沥青混合料
PAV-01225,Recycled Concrete Aggregate,순환 콘크리트 골재,再生コンクリート骨材,再生混凝土集料
PAV-01228,recycled heating asphalt mixture,재생 가열 아스팔트 혼합물,再生加熱アスファルト混合物,再生加热沥青混合料
PAV-01231,reduced subgrade strength method,노상 강도 감소 방법,路床強度低減法,路基强度降低法
PAV-01234,reflection cracking,반사 균열,反射ひび割れ,反射裂缝
PAV-01237,"regular test, routine test",정기 시험,定期試験,常规试验
PAV-01240,reinforced concrete anchor slab,철근콘크리트앵커슬래브,鉄筋コンクリートアンカースラブ,钢筋混凝土锚定板
PAV-01243,rejuvenizer,재생제,再生剤,再生剂
PAV-01246,relative strength index,상대 강도 지수,相対強度指数,相对强度指数
PAV-01249,release agent,이형제,離型剤,脱模剂
PAV-01252,Reliability,신뢰도,信頼度,可靠度
PAV-01255,remix method,재혼합공법,再混合工法,再拌合法
PAV-01258,repavement method,재포장공법,再舗装工法,重铺法
PAV-01261,resistance to freezing and thawing,동결융해 저항성,凍結融解抵抗性,抗冻融性
PAV-01264,restraint stress,구속응력,拘束応力,约束应力
PAV-01267,retained deformation strength,잔존 변형 강도,残存変形強度,残留变形强度
PAV-01270,retained stability,잔존 안정성,残存安定性,残留稳定性
PAV-01273,Rheology,레올로지,レオロジー,流变学
PAV-01276,rigid pavement,강성 포장,剛性舗装,刚性路面
PAV-01279,"road bed, filled up ground",도로상,路盤,路基
PAV-01282,Roadbed,노체,路床,路基
PAV-01285,rolling,다짐,転圧,碾压
PAV-01288,rolling thin film oven test,회전 박막 오븐 시험,ローリング薄膜オーブン試験,旋转薄膜烘箱试验
PAV-01291,rough finishing,거친 마무리,粗仕上げ,粗糙面层
PAV-01294,roughness,거칠기,粗さ,粗糙度
PAV-01297,rubber asphalt,고무 아스팔트,ゴムアスファルト,橡胶沥青
PAV-01300,rubber balloon method,고무 풍선법,ゴム風船法,橡胶气囊法
PAV-01303,Rutting,소성변형,わだち掘れ,车辙
PAV-01306,Sample,시료,試料,样品
PAV-01309,Sampling Plan,표본추출계획,抜取計画,抽样方案
PAV-01312,sand blast abrasion test,모래 분사 마모 시험,サンドブラスト摩耗試験,喷砂磨耗试验
PAV-01315,sand equivalent,모래당량,砂当量,砂当量
PAV-01318,sand replacement method,모래치환법,砂置換法,砂替法
PAV-01321,saturated surface-dry condition,포화 표면 건조 상태,飽和表面乾燥状態,饱和表面干燥状态
PAV-01324,"scaling mao cracking, or crazing",박리균열,スケーリング,剥落裂纹
PAV-01327,scaling resistance test,박리 저항성 시험,スケーリング抵抗試験,抗剥落性试验
PAV-01330,scrap value,폐기물 가치,スクラップ価値,废料价值
PAV-01333,screening,선별,スクリーニング,筛分
PAV-01336,sealant,실링재,シーラント,密封材料
PAV-01339,sealant condition number,실링재 상태 지수,シーラント状態指数,密封材料状态指数
PAV-01342,secondary dust collector,2차 집진기,二次集塵機,二次集尘器
PAV-01345,Seller's Risk (a),생산자 위험(α),生産者危険（α）,生产方风险（α）
PAV-01348,semi blown asphalt,반산화아스팔트,半酸化アスファルト,半氧化沥青
PAV-01351,Separation,아스팔트 성분분리,アスファルト成分分離,沥青组分分离
PAV-01354,serviceability,주행성,走行性,行驶性
PAV-01357,settlement,침하,沈下,沉降
PAV-01360,Shear Susceptibility,전단율 감수성,せん断速度感受性,剪切速率敏感性
PAV-01363,short blasting,단시간폭파,短時間爆破,短时爆破
PAV-01366,short term aging,단기 노화,短期老化,短期老化
PAV-01369,Shoving,밀림변형,押し出し変形,推移
PAV-01372,shrinkage limit,수축한계,収縮限界,收缩极限
PAV-01375,shrinkage ring test,수축링 시험,収縮リング試験,收缩环试验
PAV-01378,side friction,측면 마찰,側面摩擦,侧面摩擦
PAV-01381,Sieve,체,ふるい,筛
PAV-01384,silica,규산,シリカ,硅酸
PAV-01387,silica cement,규산염 시멘트,珪酸塩セメント,硅酸盐水泥
PAV-01390,silo,사일로,サイロ,筒仓
PAV-01393,single sized aggregate,균일입도골재,単粒度骨材,单粒径骨料
PAV-01396,skid number,스키드 수,スキッド数,摩擦系数
PAV-01399,skid resistance,미끄럼 저항성,スキッド抵抗,抗滑性
PAV-01402,slab,슬래브,スラブ,板
PAV-01405,Slag,슬래그,スラグ,矿渣
PAV-01408,slippage cracking,미끄럼균열,すべり亀裂,滑动裂纹
PAV-01411,slump,슬럼프,スランプ,坍落度
PAV-01414,"SMA, stone mastic asphalt mixture",석재매스틱아스팔트혼합물,ストーンマスティックアスファルト混合物,石料马蹄脂沥青混合料
PAV-01417,small impact load test,소형충격하중시험,小型衝撃荷重試験,小型冲击荷载试验
PAV-01420,"smoothness, roughness, ride quality",평탄성,平坦性,平整度
PAV-01423,softening point,연화점,軟化点,软化点
PAV-01426,soil horizons,토양층,土壌層,土壤层
PAV-01429,Soil Mechanics,토질역학,土質力学,土力学
PAV-01432,soil suction,토양흡수,土壌吸収,土壤吸力
PAV-01435,Soundness,안정성,安定性,坚固性
PAV-01438,spacer,스페이서,スペーサー,垫块
PAV-01441,spalling,박리,スポーリング,剥落
PAV-01444,Specific Gravity,비중,比重,相对密度
PAV-01447,specific surface area,비표면적,比表面積,比表面积
PAV-01450,Specification Limits,규격한계,規格限界,规范限值
PAV-01453,Specifications,시방서,仕様書,技术规范
PAV-01456,specimen,공시체,供試体,试件
PAV-01459,stability,안정성,安定性,稳定性
PAV-01462,"stability, marshal's stability","안정성, 마샬 안정성",安定性、マーシャル安定性,稳定性、马歇尔稳定性
PAV-01465,stabilization,안정화,安定化,稳定化
PAV-01468,Standard Deviation (σ or s),표준편차(σ 또는 s),標準偏差（σまたはs）,标准差（σ或s）
PAV-01471,standard gradation of aggregate,표준 골재 입도,標準骨材粒度分布,标准骨料级配
PAV-01474,standard mortar,표준 모르타르,標準モルタル,标准砂浆
PAV-01477,standard test,표준 시험,標準試験,标准试验
PAV-01480,steel furnace slag,철강로 슬래그,製鋼炉スラグ,钢炉渣
PAV-01483,"stiffness, rigidity",강성,剛性,刚性
PAV-01486,Stratified Sampling,층화표본추출,層別抽出,分层抽样
PAV-01489,strength,강도,強度,强度
PAV-01492,stripping,박리,ストリッピング,剥落
PAV-01495,Structural Number,구조지수(SN),構造指数（SN）,结构数（SN）
PAV-01498,Subbase,보조기층,下層路盤,底基层
PAV-01501,subbase course,보조기층,副基層,垫层
PAV-01504,Subgrade,노상,路床面,路床
PAV-01507,subgrade reaction,노상 반력,路床反力,路床反力
PAV-01510,Sublots,서브로트,サブロット,子批
PAV-01513,sulfate resisting portland cement,황산염 저항성 포틀랜드 시멘트,硫酸塩抵抗性ポルトランドセメント,抗硫酸盐波特兰水泥
PAV-01516,surface,표층,表層,面层
PAV-01519,Surface Course,표층,表層,面层
PAV-01522,"surface course, surface layer",표층,表層,表面层
PAV-01525,surface penetration agent,표면 침투제,表面浸透剤,表面渗透剂
PAV-01528,surge bin,서지 빈,サージビン,缓冲料仓
PAV-01531,swell,팽창,膨張,膨胀
PAV-01534,Systematic Sampling,계통표본추출,系統抽出,系统抽样
PAV-01537,tack coat,택코트,タックコート,粘层
PAV-01540,tangent run out,접선 이탈,接線逸脱,切线偏离
PAV-01543,Tar,타르,タール,焦油
PAV-01546,tar macadam pavement,타르매카담포장,タールマカダム舗装,沥青碎石路面
PAV-01549,target strength,목표 강도,目標強度,目标强度
PAV-01552,Tensile Strength,인장강도,引張強度,抗拉强度
PAV-01555,test mortar,시험모르타르,試験モルタル,试验砂浆
PAV-01558,thermal curing,열 경화,熱硬化,热固化
PAV-01561,thermal expansion coefficient,열팽창 계수,熱膨張係数,热膨胀系数
PAV-01564,thickness of pavement,포장 두께,舗装厚,路面厚度
PAV-01567,thin film heating,박막 가열,薄膜加熱,薄膜加热
PAV-01570,tie bar,연결철근,連結鉄筋,拉杆
PAV-01573,tilting mixer,경사식 믹서,傾斜式ミキサー,倾斜式搅拌机
PAV-01576,"TMD, theoretical maximum density",이론 최대 밀도,理論最大密度,理论最大密度
PAV-01579,Top-Down Transverse Cracking,상면기점 횡방향 균열,上面起点横ひび割れ,自上而下横向裂缝
PAV-01582,transverse contraction joint,횡방향 수축 이음,横方向収縮目地,横向收缩接缝
PAV-01585,Transverse Cracking,횡방향 균열,横ひび割れ,横向裂缝
PAV-01588,transverse joint,횡방향 이음,横目地,横向接缝
PAV-01591,triple wheel abrasion test,삼중 바퀴 마모 시험,三輪摩耗試験,三轮磨耗试验
PAV-01594,truck cycle,트럭 주행 사이클,トラック走行サイクル,卡车行驶周期
PAV-01597,turbo mixer,터보 믹서,ターボミキサー,涡轮搅拌机
PAV-01600,ultra rapid hardening cement,초속경시멘트,超速硬化セメント,超快硬水泥
PAV-01603,under water concrete,수중콘크리트,水中コンクリート,水下混凝土
PAV-01606,unified soil classification system,통일토양분류법,統一土壌分類法,统一土壤分类法
PAV-01609,Unified Soil Classification System (USCS),통일토질분류법(USCS),統一土質分類法（USCS）,统一土分类系统（USCS）
PAV-01612,unit binder weight,단위 바인더 중량,単位バインダー重量,单位胶凝材料重量
PAV-01615,unit quantity,단위량,単位量,单位用量
PAV-01618,unit weight of cement,시멘트 단위중량,セメント単位重量,水泥单位重量
PAV-01621,Upper Specification Limit (USL),상한 규격한계(USL),上側規格限界（USL）,规范上限（USL）
PAV-01624,user charge,통행료,利用料金,通行费
PAV-01627,Validation,타당성 확인,妥当性確認,有效性确认
PAV-01630,Variable Sampling,계량형 표본검사,計量値抜取検査,计量抽样检验
PAV-01633,Variance (σ2),분산(σ²),分散（σ²）,方差（σ²）
PAV-01636,vee bee test,비 비 시험,VB試験,VB试验
PAV-01639,Verification,검증,検証,验证
PAV-01642,vibrator for concrete pavement,콘크리트포장용진동기,コンクリート舗装用振動機,混凝土路面振动器
PAV-01645,Viscoelasticity,점탄성,粘弾性,黏弹性
PAV-01648,Voids in Mineral Aggregate (VMA),골재간극률(VMA),骨材間隙率（VMA）,矿料间隙率（VMA）
PAV-01651,voids in the mineral aggregate,광물질 골재 공극률,鉱物質骨材空隙率,矿物骨料空隙率
PAV-01654,Voids in Total Mix (VTM),전혼합물 공극률(VTM),混合物空隙率（VTM）,混合料空隙率（VTM）
PAV-01657,Volatilization,휘발,揮発,挥发
PAV-01660,wandering,포장 편주행,舗装蛇行,路面蛇行
PAV-01663,Warm Mix Asphalt (WMA),중온 아스팔트 혼합물(WMA),中温化アスファルト混合物（WMA）,温拌沥青混合料（WMA）
PAV-01666,water cement ratio,물-시멘트비,水-セメント比,水灰比
PAV-01669,water soaking stability,수침안정성,水浸安定性,水浸稳定性
PAV-01672,water-binder ratio,물-결합재비,水-結合材比,水-胶比
PAV-01675,waterproof membrane,방수막,防水膜,防水膜
PAV-01681,wearing course,마모층,摩耗層,磨耗层
PAV-01684,wet condition,습윤상태,湿潤状態,湿润状态
PAV-01687,white base,백색 기층,白色基層,白色基层
PAV-01690,white portland cement,백색 포틀랜드 시멘트,白色ポルトランドセメント,白色硅酸盐水泥
PAV-01693,"WIM, weigh-in-motion",동적 계량,動的計量,动态称重
PAV-01696,workability,시공성,施工性,施工性
PAV-01699,Zero-Stress Temperature,무응력온도(ZST),ゼロ応力温度（ZST）,零应力温度（ZST）
